DATE,COODIV
1948-01-01,280.0
1948-04-01,280.2
1948-07-01,286.9
1948-10-01,292.7
1949-01-01,297.3
1949-04-01,302.0
1949-07-01,308.4
1949-10-01,318.2
1950-01-01,332.2
1950-04-01,340.0
1950-07-01,352.9
1950-10-01,363.3
1951-01-01,385.6
1951-04-01,394.5
1951-07-01,401.0
1951-10-01,409.4
1952-01-01,402.3
1952-04-01,416.2
1952-07-01,425.2
1952-10-01,438.8
1953-01-01,425.7
1953-04-01,443.5
1953-07-01,451.4
1953-10-01,458.1
1954-01-01,496.9
1954-04-01,498.6
1954-07-01,509.3
1954-10-01,519.9
1955-01-01,513.1
1955-04-01,523.1
1955-07-01,537.1
1955-10-01,546.9
1956-01-01,554.0
1956-04-01,562.2
1956-07-01,571.9
1956-10-01,585.7
1957-01-01,598.5
1957-04-01,608.7
1957-07-01,616.4
1957-10-01,620.4
1958-01-01,642.4
1958-04-01,649.2
1958-07-01,662.3
1958-10-01,680.7
1959-01-01,675.8
1959-04-01,697.3
1959-07-01,717.5
1959-10-01,733.7
1960-01-01,741.2
1960-04-01,742.3
1960-07-01,750.2
1960-10-01,759.0
1961-01-01,768.6
1961-04-01,786.2
1961-07-01,807.2
1961-10-01,832.2
1962-01-01,840.5
1962-04-01,867.7
1962-07-01,888.8
1962-10-01,902.8
1963-01-01,907.5
1963-04-01,917.9
1963-07-01,931.3
1963-10-01,946.9
1964-01-01,962.5
1964-04-01,978.8
1964-07-01,993.4
1964-10-01,1004.1
1965-01-01,1019.0
1965-04-01,1035.2
1965-07-01,1052.4
1965-10-01,1063.1
1966-01-01,1082.7
1966-04-01,1097.3
1966-07-01,1118.3
1966-10-01,1140.4
1967-01-01,1172.7
1967-04-01,1196.2
1967-07-01,1215.3
1967-10-01,1221.6
1968-01-01,1236.4
1968-04-01,1262.8
1968-07-01,1289.9
1968-10-01,1321.4
1969-01-01,1450.2
1969-04-01,1485.9
1969-07-01,1532.2
1969-10-01,1588.5
1970-01-01,1668.6
1970-04-01,1723.1
1970-07-01,1803.5
1970-10-01,1848.5
1971-01-01,1909.4
1971-04-01,1940.4
1971-07-01,1978.0
1971-10-01,1997.1
1972-01-01,2076.5
1972-04-01,2088.6
1972-07-01,2204.8
1972-10-01,2276.9
1973-01-01,2349.0
1973-04-01,2432.2
1973-07-01,2536.1
1973-10-01,2641.6
1974-01-01,2727.8
1974-04-01,2824.6
1974-07-01,2925.6
1974-10-01,3030.1
1975-01-01,3147.6
1975-04-01,3200.0
1975-07-01,3264.4
1975-10-01,3309.5
1976-01-01,3382.3
1976-04-01,3457.7
1976-07-01,3526.8
1976-10-01,3617.6
1977-01-01,3710.2
1977-04-01,3828.3
1977-07-01,3970.0
1977-10-01,4133.5
1978-01-01,4287.3
1978-04-01,4423.4
1978-07-01,4616.5
1978-10-01,4787.8
1979-01-01,4923.4
1979-04-01,5046.7
1979-07-01,5211.1
1979-10-01,5528.7
1980-01-01,5925.9
1980-04-01,6141.1
1980-07-01,6248.1
1980-10-01,6683.0
1981-01-01,6965.4
1981-04-01,7381.9
1981-07-01,7957.2
1981-10-01,8212.5
1982-01-01,8440.3
1982-04-01,8610.1
1982-07-01,8698.9
1982-10-01,8815.5
1983-01-01,9140.0
1983-04-01,9380.0
1983-07-01,9767.3
1983-10-01,10040.9
1984-01-01,10161.9
1984-04-01,10370.1
1984-07-01,10747.2
1984-10-01,10989.0
1985-01-01,11205.3
1985-04-01,11369.5
1985-07-01,11485.7
1985-10-01,11690.7
1986-01-01,11893.8
1986-04-01,11943.6
1986-07-01,11814.7
1986-10-01,11723.1
1987-01-01,11752.6
1987-04-01,11926.4
1987-07-01,12228.3
1987-10-01,12475.9
1988-01-01,12489.3
1988-04-01,12512.0
1988-07-01,12831.7
1988-10-01,13252.1
1989-01-01,14002.1
1989-04-01,14402.5
1989-07-01,14541.8
1989-10-01,14665.9
1990-01-01,14926.6
1990-04-01,14907.5
1990-07-01,15009.3
1990-10-01,14866.8
1991-01-01,15054.8
1991-04-01,15228.4
1991-07-01,15422.1
1991-10-01,15458.3
1992-01-01,15401.1
1992-04-01,15698.9
1992-07-01,15895.0
1992-10-01,16170.1
1993-01-01,16587.7
1993-04-01,16834.7
1993-07-01,17086.3
1993-10-01,17435.4
1994-01-01,17932.3
1994-04-01,18501.0
1994-07-01,19056.3
1994-10-01,19679.8
1995-01-01,20297.8
1995-04-01,20786.2
1995-07-01,21159.0
1995-10-01,21636.1
1996-01-01,22241.5
1996-04-01,22599.6
1996-07-01,22999.0
1996-10-01,23414.6
1997-01-01,23878.2
1997-04-01,24340.0
1997-07-01,24789.3
1997-10-01,25379.0
1998-01-01,25975.4
1998-04-01,26698.4
1998-07-01,27037.3
1998-10-01,26847.9
1999-01-01,26649.0
1999-04-01,26871.6
1999-07-01,27196.3
1999-10-01,27904.6
2000-01-01,29108.8
2000-04-01,29815.8
2000-07-01,30393.6
2000-10-01,30846.6
2001-01-01,30998.6
2001-04-01,30996.3
2001-07-01,30716.7
2001-10-01,30230.4
2002-01-01,30003.8
2002-04-01,29891.8
2002-07-01,29483.5
2002-10-01,29767.4
2003-01-01,30545.8
2003-04-01,30280.0
2003-07-01,30414.1
2003-10-01,30654.8
2004-01-01,30686.4
2004-04-01,31076.2
2004-07-01,31232.9
2004-10-01,33153.2
2005-01-01,32933.8
2005-04-01,34185.7
2005-07-01,34411.9
2005-10-01,36586.3
2006-01-01,37777.6
2006-04-01,39146.9
2006-07-01,39806.4
2006-10-01,40488.8
2007-01-01,41886.9
2007-04-01,44298.3
2007-07-01,44867.5
2007-10-01,45052.9
2008-01-01,45947.9
2008-04-01,45533.8
2008-07-01,46142.7
2008-10-01,45019.0
2009-01-01,43038.9
2009-04-01,41805.7
2009-07-01,40376.0
2009-10-01,39175.2
2010-01-01,39449.5
2010-04-01,39867.6
2010-07-01,40515.7
2010-10-01,42286.2
2011-01-01,45303.4
2011-04-01,46617.6
2011-07-01,47463.3
2011-10-01,49156.8
2012-01-01,50896.0
2012-04-01,52004.4
2012-07-01,50355.0
2012-10-01,55675.7
2013-01-01,50382.1
2013-04-01,51102.3
2013-07-01,52417.3
2013-10-01,53201.4
2014-01-01,55193.5
2014-04-01,57168.1
2014-07-01,58648.4
2014-10-01,59597.1
2015-01-01,60313.7
2015-04-01,62887.9
2015-07-01,63865.9
2015-10-01,63366.8
2016-01-01,63920.0
2016-04-01,64644.1
2016-07-01,65412.8
2016-10-01,66507.4
2017-01-01,68735.8
2017-04-01,69471.7
2017-07-01,70110.7
2017-10-01,72479.5
2018-01-01,74263.1
2018-04-01,75595.4
2018-07-01,76819.9
2018-10-01,77561.1
2019-01-01,76739.2
2019-04-01,78401.6
